country,ISO3,2020
Norway,nor,98.1
Iceland,isl,93.7
Sweden,swe,92.6
New Zealand,nzl,92.5
Canada,can,92.4
Finland,fin,92
Denmark,dnk,91.5
Ireland,irl,90.5
Australia,aus,89.6
Netherlands,nld,89.6
Taiwan,twn,89.4
Switzerland,che,88.3
Luxembourg,lux,86.8
Germany,deu,86.7
Uruguay,ury,86.1
United Kingdom,gbr,85.4
Chile,chl,82.8
Austria,aut,81.6
Costa Rica,cri,81.6
Mauritius,mus,81.4
Japan,jpn,81.3
Spain,esp,81.2
South Korea,kor,80.1
France,fra,79.9
United States,usa,79.2
Portugal,prt,79
Estonia,est,78.4
Israel,isr,78.4
Italy,ita,77.4
Malta,mlt,76.8
Czech Republic,cze,76.7
Cape Verde,cpv,76.5
Botswana,bwa,76.2
Cyprus,cyp,75.6
Slovenia,svn,75.4
Belgium,bel,75.1
Greece,grc,73.9
Latvia,lva,72.4
Malaysia,mys,71.9
Panama,pan,71.8
Trinidad and Tobago,tto,71.6
Jamaica,jam,71.3
Timor-Leste,tls,70.6
South Africa,zaf,70.5
Colombia,col,70.4
Slovak Republic,svk,69.7
Argentina,arg,69.5
Brazil,bra,69.2
Poland,pol,68.5
Suriname,sur,68.2
Bulgaria,bgr,67.1
India,ind,66.1
Tunisia,tun,65.9
Philippines,phl,65.6
Hungary,hun,65.6
Peru,per,65.3
Namibia,nam,65.2
Croatia,hrv,65
Ghana,gha,65
Mongolia,mng,64.8
Romania,rou,64
Dominican Republic,dom,63.2
Lesotho,lso,63
Indonesia,idn,63
Serbia,srb,62.2
Paraguay,pry,61.8
Sri Lanka,lka,61.4
Ecuador,ecu,61.3
Papua New Guinea,png,61
Albania,alb,60.8
Mexico,mex,60.7
Thailand,tha,60.4
Singapore,sgp,60.3
Guyana,guy,60.1
Bangladesh,bgd,59.9
El Salvador,slv,59
"Macedonia, FYR",mkd,58.9
Moldova,mda,57.8
Montenegro,mne,57.7
Malawi,mwi,57.4
Fiji,fji,57.2
Bhutan,btn,57.1
Madagascar,mdg,57
Senegal,sen,56.7
"Hong Kong, China",hkg,55.7
Honduras,hnd,53.6
Armenia,arm,53.5
Liberia,lbr,53.2
Georgia,geo,53.1
Nepal,npl,52.2
Tanzania,tza,51
Bolivia,bol,50.8
Kenya,ken,50.5
Morocco,mar,50.4
Guatemala,gtm,49.7
Uganda,uga,49.4
Zambia,zmb,48.6
Sierra Leone,sle,48.6
Bosnia and Herzegovina,bih,48.4
Benin,ben,45.8
Gambia,gmb,44.9
Turkey,tur,44.8
Pakistan,pak,43.1
Haiti,hti,42.2
Kyrgyz Republic,kgz,42.1
Lebanon,lbn,41.6
Cote d'Ivoire,civ,41.1
Nigeria,nga,41
Mali,mli,39.3
Mauritania,mrt,39.2
Palestine,pse,38.3
Kuwait,kwt,38
Burkina Faso,bfa,37.3
Angola,ago,36.6
Iraq,irq,36.2
Jordan,jor,36.2
Nicaragua,nic,36
Gabon,gab,35.4
Mozambique,moz,35.1
Ethiopia,eth,33.8
Russia,rus,33.1
Niger,ner,32.9
Qatar,qat,32.4
Zimbabwe,zwe,31.6
Kazakhstan,kaz,31.4
"Congo, Rep.",cog,31.1
Cambodia,khm,31
Rwanda,rwa,31
Comoros,com,30.9
Swaziland,swz,30.8
Guinea,gin,30.8
Myanmar,mmr,30.4
Oman,omn,30
Vietnam,vnm,29.4
Egypt,egy,29.3
Afghanistan,afg,28.5
Cuba,cub,28.4
Togo,tgo,28
Cameroon,cmr,27.7
Venezuela,ven,27.6
Djibouti,dji,27.1
United Arab Emirates,are,27
Azerbaijan,aze,26.8
Guinea-Bissau,gnb,26.3
Belarus,blr,25.9
Sudan,sdn,25.4
Bahrain,bhr,24.9
China,chn,22.7
Eritrea,eri,21.5
Burundi,bdi,21.4
Uzbekistan,uzb,21.2
Saudi Arabia,sau,20.8
Libya,lby,19.5
Yemen,yem,19.5
Tajikistan,tjk,19.4
Equatorial Guinea,gnq,19.2
Lao,lao,17.7
Turkmenistan,tkm,17.2
Chad,tcd,15.5
Syria,syr,14.3
Central African Republic,caf,13.2
"Congo, Dem. Rep.",cod,11.3
North Korea,prk,10.8
